id,title,owner,status,project_id,project_name,stage,prd_path,tech_solution_path,project_path,git_repo,deployment_url,prd_confirmation,tech_expectations,acceptance,last_update,engine,target,game_type,notes
P-20250416-001,,,active,PRJ-20250416-001,todolist,,,,,https://github.com/YeLuo45/todo-list,,,,accepted,,,,,
P-20260502-012,,,active,PRJ-20250416-001,todolist,,,,,https://github.com/YeLuo45/todo-list,,timeout-approved（5分钟）,confirmed,pending,,,,,
P-20260502-014,,,active,PRJ-20250416-001,todolist,,,,,https://github.com/YeLuo45/todo-list,,,,accepted,,,,,
P-20260502-015,,,active,PRJ-20250416-001,todolist,,,,,https://github.com/YeLuo45/todo-list,,,,accepted,,,,,
P-20260502-016,,,active,PRJ-20250416-001,todolist,,,,,https://github.com/YeLuo45/todo-list,,,,accepted,,,,,
P-20260502-019,,,active,PRJ-20250416-001,todolist,,,,,https://github.com/YeLuo45/todo-list,,,,accepted,,,,,
P-20260503-020,,,in_dev,PRJ-20250416-001,todolist,,,,,https://github.com/YeLuo45/todo-list,,timeout-approved,,pending,,,,,
P-20260503-024,,,active,PRJ-20250416-001,todolist,,,,,https://github.com/YeLuo45/todo-list,,,,accepted,,,,,
P-20260503-025,,,active,PRJ-20250416-001,todolist,,,,,https://github.com/YeLuo45/todo-list,,,,accepted,,,,,
P-20260503-026,,,active,PRJ-20250416-001,todolist,,,,,https://github.com/YeLuo45/todo-list,,,,accepted,,,,,
P-20260503-027,,,active,PRJ-20250416-001,todolist,,,,,https://github.com/YeLuo45/todo-list,,,,accepted,,,,,
P-20250416-002,,,active,PRJ-20250416-002,game-1024,,,,,https://github.com/YeLuo45/game-1024,,,,accepted,,,,,
P-20260502-007,,,in_dev,PRJ-20250416-002,game-1024,,,,,https://github.com/YeLuo45/game-1024,,confirmed,confirmed,accepted,,,,,
P-20260502-008,,,in_dev,PRJ-20250416-002,game-1024,,,,,https://github.com/YeLuo45/game-1024,,confirmed,confirmed,accepted,,,,,
P-20260502-009,,,active,PRJ-20250416-002,game-1024,,,,,https://github.com/YeLuo45/game-1024,,,,accepted,,,,,
P-20260502-010,,,active,PRJ-20250416-002,game-1024,,,,,https://github.com/YeLuo45/game-1024,,,,accepted,,,,,
P-20260502-011,,,active,PRJ-20250416-002,game-1024,,,,,https://github.com/YeLuo45/game-1024,,,,accepted,,,,,
P-20250418-003,,,active,PRJ-20250418-003,harness-desktop,,,,,https://github.com/YeLuo45/harness-desktop,,,,accepted,,,,,
P-20260510-001,,,delivered,PRJ-20250418-003,harness-desktop,,,,,https://github.com/YeLuo45/harness-desktop,,timeout-approved,,,,,,,
P-20260412-008,,,active,PRJ-20260412-008,ai-subscription,,,,,https://github.com/YeLuo45/ai-subscription,,,,accepted,,,,,
P-20260502-017,,,in_dev,PRJ-20260412-008,ai-subscription,,,,,https://github.com/YeLuo45/ai-subscription,,,timeout-approved,,,,,,
P-20260505-005,,,in_dev,PRJ-20260412-008,ai-subscription,,,,,https://github.com/YeLuo45/ai-subscription,,,,,,,,,
P-20260505-006,,,in_dev,PRJ-20260412-008,ai-subscription,,,,,https://github.com/YeLuo45/ai-subscription,,,,,,,,,
P-20260505-007,,,in_dev,PRJ-20260412-008,ai-subscription,,,,,https://github.com/YeLuo45/ai-subscription,,,,,,,,,
P-20260505-008,,,in_dev,PRJ-20260412-008,ai-subscription,,,,,https://github.com/YeLuo45/ai-subscription,,,,,,,,,
P-20260505-009,,,in_dev,PRJ-20260412-008,ai-subscription,,,,,https://github.com/YeLuo45/ai-subscription,,,,,,,,,
P-20260505-010,,,in_dev,PRJ-20260412-008,ai-subscription,,,,,https://github.com/YeLuo45/ai-subscription,,,,,,,,,
P-20260505-011,,,in_dev,PRJ-20260412-008,ai-subscription,,,,,https://github.com/YeLuo45/ai-subscription,,,,,,,,,
P-20260505-013,,,active,PRJ-20260412-008,ai-subscription,,,,,https://github.com/YeLuo45/ai-subscription,,timeout-approved,,accepted,,,,,
P-20260506-001,,,active,PRJ-20260412-008,ai-subscription,,,,,https://github.com/YeLuo45/ai-subscription,,boss-selected-P0,pending,accepted,,,,,
P-20260506-002,,,active,PRJ-20260412-008,ai-subscription,,,,,https://github.com/YeLuo45/ai-subscription,,boss-selected-P0,pending,accepted,,,,,
P-20260506-003,,,active,PRJ-20260412-008,ai-subscription,,,,,https://github.com/YeLuo45/ai-subscription,,boss-selected-P0,pending,accepted,,,,,
P-20260506-004,,,active,PRJ-20260412-008,ai-subscription,,,,,https://github.com/YeLuo45/ai-subscription,,boss-selected-P1,pending,accepted,,,,,
P-20260506-005,,,active,PRJ-20260412-008,ai-subscription,,,,,https://github.com/YeLuo45/ai-subscription,,boss-selected-P2,pending,accepted,,,,,
P-20260506-006,,,active,PRJ-20260412-008,ai-subscription,,,,,https://github.com/YeLuo45/ai-subscription,,boss-selected-P2,pending,accepted,,,,,
P-20260506-007,,,active,PRJ-20260412-008,ai-subscription,,,,,https://github.com/YeLuo45/ai-subscription,,boss-selected-P2,pending,accepted,,,,,
P-20260506-008,,,active,PRJ-20260412-008,ai-subscription,,,,,https://github.com/YeLuo45/ai-subscription,,confirmed,pending,accepted,,,,,
P-20260506-009,,,active,PRJ-20260412-008,ai-subscription,,,,,https://github.com/YeLuo45/ai-subscription,,confirmed,pending,accepted,,,,,
P-20260412-009,,,active,PRJ-20260412-009,ai-stock-simulation,,,,,https://github.com/YeLuo45/ai-stock-simulation,,,,accepted,,,,,
P-20260505-001,,,active,PRJ-20260412-009,ai-stock-simulation,,,,,https://github.com/YeLuo45/ai-stock-simulation,,,,accepted,,,,,
P-20260505-002,,,active,PRJ-20260412-009,ai-stock-simulation,,,,,https://github.com/YeLuo45/ai-stock-simulation,,,,accepted,,,,,
P-20260505-003,,,active,PRJ-20260412-009,ai-stock-simulation,,,,,https://github.com/YeLuo45/ai-stock-simulation,,confirmed,,accepted,,,,,
P-20260505-004,,,active,PRJ-20260412-009,ai-stock-simulation,,,,,https://github.com/YeLuo45/ai-stock-simulation,,confirmed,,accepted,,,,,
P-20260509-024,,,active,PRJ-20260412-009,ai-stock-simulation,,,,,https://github.com/YeLuo45/ai-stock-simulation,,,,delivered,,,,,
P-20250417-001,,,active,PRJ-20260417-001,prj-proposals-manager,,,,,https://github.com/YeLuo45/prj-proposals-manager,,,,accepted,,,,,
P-20260505-077,,,archived,PRJ-20260417-001,prj-proposals-manager,,,,,https://github.com/YeLuo45/prj-proposals-manager,,,,,,,,,
P-20250417-002,,,active,PRJ-20260417-002,android-hello,,,,,https://github.com/YeLuo45/android-hello,,,,accepted,,,,,
P-20260505-014,,,active,PRJ-20260417-002,android-hello,,,,,https://github.com/YeLuo45/android-hello,,,,accepted,,,,,
P-20260505-015,,,active,PRJ-20260417-002,android-hello,,,,,https://github.com/YeLuo45/android-hello,,,,accepted,,,,,
P-20260505-016,,,active,PRJ-20260417-002,android-hello,,,,,https://github.com/YeLuo45/android-hello,,,,accepted,,,,,
P-20260505-017,,,active,PRJ-20260417-002,android-hello,,,,,https://github.com/YeLuo45/android-hello,,,,accepted,,,,,
P-20260506-018,,,active,PRJ-20260417-002,android-hello,,,,,https://github.com/YeLuo45/android-hello,,,,accepted,,,,,
P-20260506-019,,,active,PRJ-20260417-002,android-hello,,,,,https://github.com/YeLuo45/android-hello,,,,accepted,,,,,
P-20260506-020,,,active,PRJ-20260417-002,android-hello,,,,,https://github.com/YeLuo45/android-hello,,,,accepted,,,,,
P-20260506-021,,,active,PRJ-20260417-002,android-hello,,,,,https://github.com/YeLuo45/android-hello,,,,accepted,,,,,
P-20260506-022,,,active,PRJ-20260417-002,android-hello,,,,,https://github.com/YeLuo45/android-hello,,,,accepted,,,,,
P-20260506-023,,,active,PRJ-20260417-002,android-hello,,,,,https://github.com/YeLuo45/android-hello,,,,accepted,,,,,
P-20260507-024,,,active,PRJ-20260417-002,android-hello,,,,,https://github.com/YeLuo45/android-hello,,,,accepted,,,,,
P-20260507-025,,,active,PRJ-20260417-002,android-hello,,,,,https://github.com/YeLuo45/android-hello,,,,accepted,,,,,
P-20260507-026,,,active,PRJ-20260417-002,android-hello,,,,,https://github.com/YeLuo45/android-hello,,,,accepted,,,,,
P-20260507-027,,,active,PRJ-20260417-002,android-hello,,,,,https://github.com/YeLuo45/android-hello,,,,accepted,,,,,
P-20260507-028,,,active,PRJ-20260417-002,android-hello,,,,,https://github.com/YeLuo45/android-hello,,,,accepted,,,,,
P-20260507-029,,,active,PRJ-20260417-002,android-hello,,,,,https://github.com/YeLuo45/android-hello,,,,accepted,,,,,
P-20260507-030,,,active,PRJ-20260417-002,android-hello,,,,,https://github.com/YeLuo45/android-hello,,,,accepted,,,,,
P-20260509-003,,,active,PRJ-20260417-002,android-hello,,,,,https://github.com/YeLuo45/android-hello,,,,delivered,,,,,
P-20260509-004,,,active,PRJ-20260417-002,android-hello,,,,,https://github.com/YeLuo45/android-hello,,,,delivered,,,,,
P-20250418-001,,,active,PRJ-20260418-001,monopoly3d,,,,,https://github.com/YeLuo45/monopoly3d,,,,accepted,,,,,
P-20260503-028,,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,https://github.com/YeLuo45/creative-drawing-board,,pending,,,,,,,
P-20260503-038,,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,https://github.com/YeLuo45/creative-drawing-board,,,,,,,,,
P-20260503-039,,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,https://github.com/YeLuo45/creative-drawing-board,,,,,,,,,
P-20260503-040,,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,https://github.com/YeLuo45/creative-drawing-board,,,,,,,,,
P-20260503-041,,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,https://github.com/YeLuo45/creative-drawing-board,,,,,,,,,
P-20260503-042,,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,https://github.com/YeLuo45/creative-drawing-board,,,,,,,,,
P-20260503-043,,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,https://github.com/YeLuo45/creative-drawing-board,,,,,,,,,
P-20260503-044,,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,https://github.com/YeLuo45/creative-drawing-board,,,,,,,,,
P-20260503-045,,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,https://github.com/YeLuo45/creative-drawing-board,,,,,,,,,
P-20260503-046,,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,https://github.com/YeLuo45/creative-drawing-board,,,,,,,,,
P-20260503-047,,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,https://github.com/YeLuo45/creative-drawing-board,,,,,,,,,
P-20260503-048,,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,https://github.com/YeLuo45/creative-drawing-board,,,,,,,,,
P-20260504-049,,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,https://github.com/YeLuo45/creative-drawing-board,,,,,,,,,
P-20260504-050,,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,https://github.com/YeLuo45/creative-drawing-board,,,,,,,,,
P-20260504-051,,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,https://github.com/YeLuo45/creative-drawing-board,,,,,,,,,
P-20260504-052,,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,https://github.com/YeLuo45/creative-drawing-board,,,,,,,,,
P-20260504-053,,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,https://github.com/YeLuo45/creative-drawing-board,,,,,,,,,
P-20260504-054,,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,https://github.com/YeLuo45/creative-drawing-board,,,,,,,,,
P-20260504-055,,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,https://github.com/YeLuo45/creative-drawing-board,,,,,,,,,
P-20260504-056,,,in_dev,PRJ-20260418-002,creative-drawing-board,,,,,https://github.com/YeLuo45/creative-drawing-board,,,,,,,,,
